repository,issue_number,issue_state,issue_title,issue_created_at,issue_closed_at,issue_author,issue_comments
introlab/rtabmap,1690,closed,3D map rotates,2026-04-16T14:34:32Z,2026-04-17T08:00:58Z,IAMHAADICOOL,2
introlab/rtabmap,1688,closed,Can't using laser scan data for create map,2026-04-14T13:19:19Z,2026-04-17T08:43:35Z,LynX191,1
introlab/rtabmap,1686,closed,Data containing global descriptors cannot be processed when RehearsalIdUpdatedToNewOne is enabled,2026-04-12T06:19:28Z,2026-04-19T23:13:04Z,borongyuan,6
introlab/rtabmap,1685,closed,Enabling both CreateIntermediateNodes and Retrieval causes Memory::getMetricConstraints() to enter an infinite loop,2026-04-09T09:14:57Z,2026-04-19T23:12:50Z,borongyuan,2
introlab/rtabmap,1682,open,iOS: odometry reset to origin after recording over 2000 nodes in Data recorder mode,2026-04-04T19:59:46Z,,matlabbe,1
introlab/rtabmap,1679,closed,failed to connect the ORBBEC ASTRA PRO,2026-03-27T02:46:08Z,2026-03-29T06:03:06Z,tisu97,2
introlab/rtabmap,1675,open,Method to integrate liosam as an odometry source,2026-03-19T17:21:12Z,,abhi2198,3
introlab/rtabmap,1674,open,Calibration parameters not applied and missing distortion coefficients warning when using rtabmap-rgbd_dataset with CID-SIMS dataset,2026-03-18T16:39:29Z,,ScottishOwl,5
introlab/rtabmap,1671,open,Improve detect more loop closures tool to avoid overpowering odometry contribution in local graph optimization,2026-03-15T19:49:40Z,,matlabbe,0
introlab/rtabmap,1664,closed,`AARCH64` build throws `OutOfMemoryError` on call to  `dai::ImgFrame::getCvFrame()`,2026-03-04T15:14:04Z,2026-03-05T18:33:27Z,xperroni,2
introlab/rtabmap,1662,open,Using Superglue with Windows binaries,2026-03-02T15:47:03Z,,elidiot18,2
introlab/rtabmap,1661,open,Missing DLL error when launching RTAB-Map 0.23.1 on fresh Windows 11 installation,2026-03-02T11:33:23Z,,solheal271,1
introlab/rtabmap,1660,open,latest gtsam compilation errors,2026-03-02T05:23:22Z,,matlabbe,0
introlab/rtabmap,1659,open,cv::AffineFeature,2026-03-01T20:13:43Z,,matlabbe,0
introlab/rtabmap,1658,open,How to dynamically adjust the maximum number of features extracted by the RTAB-Map front-end odometry?,2026-02-26T16:02:50Z,,ScottishOwl,3
