repository,commit_sha,commit_date,filename,additions,deletions,changes
carla-simulator/carla,a40939fd5f3f5f41c1d43e6a862bdc2b98752e29,2026-03-31T07:38:58Z,LibCarla/source/test/client/test_image.cpp,1,1,2
carla-simulator/carla,a40939fd5f3f5f41c1d43e6a862bdc2b98752e29,2026-03-31T07:38:58Z,LibCarla/source/test/client/test_opendrive.cpp,2,2,4
carla-simulator/carla,a40939fd5f3f5f41c1d43e6a862bdc2b98752e29,2026-03-31T07:38:58Z,LibCarla/source/test/server/test_benchmark_streaming.cpp,1,1,2
carla-simulator/carla,a40939fd5f3f5f41c1d43e6a862bdc2b98752e29,2026-03-31T07:38:58Z,LibCarla/source/third-party/marchingcube/Cube.h,4,4,8
carla-simulator/carla,a40939fd5f3f5f41c1d43e6a862bdc2b98752e29,2026-03-31T07:38:58Z,LibCarla/source/third-party/marchingcube/MeshReconstruction.h,5,6,11
carla-simulator/carla,a40939fd5f3f5f41c1d43e6a862bdc2b98752e29,2026-03-31T07:38:58Z,LibCarla/source/third-party/marchingcube/Triangulation.h,3,3,6
carla-simulator/carla,a40939fd5f3f5f41c1d43e6a862bdc2b98752e29,2026-03-31T07:38:58Z,LibCarla/source/third-party/simplify/Simplify.h,74,81,155
carla-simulator/carla,a02a02c6ff0fe082be7dbbb393f2ec94b0bedf60,2026-03-30T07:41:27Z,LibCarla/source/carla/ros2/types/CameraInfo.cpp,1,1,2
carla-simulator/carla,a02a02c6ff0fe082be7dbbb393f2ec94b0bedf60,2026-03-30T07:41:27Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/MapGen/LargeMapManager.cpp,1,0,1
carla-simulator/carla,a02a02c6ff0fe082be7dbbb393f2ec94b0bedf60,2026-03-30T07:41:27Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/Sensor/AsyncDataStream.h,31,0,31
carla-simulator/carla,a02a02c6ff0fe082be7dbbb393f2ec94b0bedf60,2026-03-30T07:41:27Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/Sensor/PixelReader.h,8,4,12
carla-simulator/carla,a02a02c6ff0fe082be7dbbb393f2ec94b0bedf60,2026-03-30T07:41:27Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/Util/BoundingBoxCalculator.cpp,43,19,62
carla-simulator/carla,a02a02c6ff0fe082be7dbbb393f2ec94b0bedf60,2026-03-30T07:41:27Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/Util/BoundingBoxCalculator.h,3,0,3
carla-simulator/carla,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,LibCarla/source/carla/client/detail/Simulator.cpp,2,1,3
carla-simulator/carla,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,LibCarla/source/carla/geom/Vector3D.h,3,1,4
carla-simulator/carla,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,LibCarla/source/carla/opendrive/parser/LaneParser.cpp,5,3,8
carla-simulator/carla,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,LibCarla/source/carla/road/Map.cpp,24,8,32
carla-simulator/carla,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,LibCarla/source/carla/rpc/Server.h,17,4,21
carla-simulator/carla,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,LibCarla/source/carla/streaming/detail/tcp/ServerSession.cpp,2,1,3
carla-simulator/carla,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/Sensor/ImageUtil.cpp,3,2,5
carla-simulator/carla,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/Sensor/PixelReader.cpp,4,1,5
carla-simulator/carla,3694a58866b8749bb8c5d4e325857b8a3ca2e7ff,2026-03-26T08:34:07Z,CarlaSetup.sh,6,8,14
carla-simulator/carla,3694a58866b8749bb8c5d4e325857b8a3ca2e7ff,2026-03-26T08:34:07Z,Util/SetupUtils/InstallPrerequisites.sh,8,14,22
