repository,ai_detected,total_ai_related_commits
tiiuae/mesh_com,True,52
ros-navigation/nav2_minimal_turtlebot_simulation,True,2
westonrobot/scout_ros2,False,0
snktshrma/ardupilot_ros,True,8
space-ros/simulation,True,6
pal-robotics/pmb2_robot,True,25
OxfordTechnicalSolutions/oxts_ros2_driver,True,8
pla10/Shelfino_ROS2,False,0
stereolabs/zed-ros2-interfaces,False,0
ouspg/SOP-Robot,True,44
