repository,pr_number,pr_state,pr_title,pr_created_at,pr_closed_at,pr_merged_at,pr_author,pr_comments
Neargye/magic_enum,450,open,Added efficient iterators to magic_enum::containers::bitset,2026-03-16T18:53:14Z,,,KenanMillet,
Neargye/magic_enum,448,open,Bump the github-actions group with 2 updates,2026-03-01T06:15:06Z,,,dependabot[bot],
Neargye/magic_enum,445,closed,fixup #441: fix typo,2026-02-07T09:45:31Z,2026-02-07T17:21:19Z,,rhaschke,
Neargye/magic_enum,443,closed,Bump github/codeql-action from 4.31.9 to 4.32.0 in the github-actions group,2026-02-01T06:14:20Z,2026-02-02T09:07:38Z,2026-02-02T09:07:38Z,dependabot[bot],
Neargye/magic_enum,442,closed,[issue #441] fix(magic_enum): fix enum_integer return value deduction on unsupported compilers.,2026-01-20T07:20:03Z,2026-02-05T10:44:41Z,2026-02-05T10:44:40Z,WtDMaO0,
Neargye/magic_enum,440,closed,Bump the github-actions group across 1 directory with 4 updates,2026-01-01T06:03:40Z,2026-01-25T08:39:48Z,2026-01-25T08:39:48Z,dependabot[bot],
Neargye/magic_enum,439,closed,Fix redefinition errors when compiling as module (regression fix),2025-12-10T20:31:42Z,2026-01-25T08:42:09Z,2026-01-25T08:42:09Z,ChristopherCanfield,
Neargye/magic_enum,438,closed,add rules_cc bazel dependency,2025-12-06T20:47:45Z,2026-01-25T08:35:35Z,2026-01-25T08:35:35Z,zaucy,
Neargye/magic_enum,436,closed,Bump the github-actions group with 2 updates,2025-12-01T06:20:10Z,2026-01-01T06:03:33Z,,dependabot[bot],
Neargye/magic_enum,435,closed,Bump the github-actions group across 1 directory with 3 updates,2025-11-01T06:03:28Z,2025-11-21T13:55:40Z,2025-11-21T13:55:40Z,dependabot[bot],
Neargye/magic_enum,433,closed,Fix MSVC C++20/23 module compatibility for static_str conversion operator,2025-10-15T05:02:45Z,2025-11-21T14:14:35Z,,banderzhm,
Neargye/magic_enum,432,closed,fix: add missing return type in FatalConditionHandler (catch.hpp) to fix compile error,2025-10-12T14:34:09Z,2025-11-13T07:57:03Z,,psyche314,
Neargye/magic_enum,430,closed,Replace test option with not building tests by default,2025-10-02T10:49:54Z,2025-10-08T18:29:29Z,2025-10-08T18:29:29Z,frankier,
Neargye/magic_enum,429,closed,Bump the github-actions group with 2 updates,2025-10-01T06:04:59Z,2025-11-01T06:03:23Z,,dependabot[bot],
Neargye/magic_enum,426,closed,Bump the github-actions group with 2 updates,2025-09-01T13:49:25Z,2025-09-05T15:54:20Z,2025-09-05T15:54:20Z,dependabot[bot],
Neargye/magic_enum,424,closed,Fix link error,2025-09-01T03:46:29Z,2025-09-05T15:51:08Z,,MaxwellGengYF,
Neargye/magic_enum,423,closed,Prevent multiple definitions of adl_info,2025-09-01T03:06:05Z,2025-09-05T15:51:10Z,,Antidote,
Neargye/magic_enum,422,closed,enum_name function now can receive a container of enum,2025-08-18T19:59:12Z,2025-08-24T19:00:55Z,,Paracefas,
Neargye/magic_enum,421,closed,Bump github/codeql-action from 3.29.2 to 3.29.5 in the github-actions group,2025-08-01T06:17:58Z,2025-08-24T19:01:03Z,2025-08-24T19:01:03Z,dependabot[bot],
Neargye/magic_enum,417,closed,Bump the github-actions group with 3 updates,2025-07-01T08:34:40Z,2025-07-17T09:54:17Z,2025-07-17T09:54:17Z,dependabot[bot],
Neargye/magic_enum,416,closed,Fix GIT_TAG for CMake's `CPAMAddPackage`,2025-06-13T14:49:57Z,2025-06-24T13:11:51Z,2025-06-24T13:11:51Z,Flinner,
Neargye/magic_enum,414,closed,Add prefix trimming,2025-06-12T01:16:10Z,2025-08-31T18:56:19Z,2025-08-31T18:56:19Z,ZXShady,
Neargye/magic_enum,413,closed,Add ADL way of defining `enum_range`,2025-06-09T13:52:07Z,2025-06-11T17:00:02Z,2025-06-11T17:00:02Z,ZXShady,
Neargye/magic_enum,408,closed,fix MSVC warnings for module,2025-04-29T12:47:59Z,2025-04-29T12:55:02Z,,Arthapz,
Neargye/magic_enum,407,closed,fix: warnings about included file in module purview in MSVC,2025-04-15T11:32:58Z,2025-06-11T16:47:09Z,2025-06-11T16:47:09Z,helynranta,
Neargye/magic_enum,406,closed,Typo in README,2025-04-10T02:52:06Z,2025-06-11T16:38:33Z,2025-06-11T16:38:33Z,elykwilliams,
Neargye/magic_enum,405,closed,Fix __FUNCSIG__ parsing on x86 by explicitly declaring the calling convention,2025-04-07T06:08:06Z,2025-06-27T11:25:18Z,2025-06-27T11:25:18Z,jediry,
Neargye/magic_enum,403,closed,Bump the github-actions group with 3 updates,2025-03-01T06:41:03Z,2025-06-11T16:46:15Z,2025-06-11T16:46:15Z,dependabot[bot],
Neargye/magic_enum,401,closed,fix: use `inline` instead of `static` for constexpr in header file,2025-02-13T23:10:55Z,2025-02-20T08:38:17Z,2025-02-20T08:38:17Z,tkhyn,
Neargye/magic_enum,399,closed,Bump the github-actions group across 1 directory with 2 updates,2025-02-01T06:05:11Z,2025-02-20T08:36:05Z,2025-02-20T08:36:05Z,dependabot[bot],
Neargye/magic_enum,398,closed,More reliable value validness detection towards CWG1766,2025-01-24T09:02:27Z,2025-02-20T08:34:09Z,2025-02-20T08:34:09Z,frederick-vs-ja,
Neargye/magic_enum,395,closed,Bump the github-actions group across 1 directory with 2 updates,2025-01-01T06:43:58Z,2025-02-01T06:05:13Z,,dependabot[bot],
Neargye/magic_enum,394,closed,Support fmt and std::format in C++20 module,2024-12-21T19:20:26Z,2025-11-21T15:21:54Z,2025-11-21T15:21:54Z,CrackedMatter,
Neargye/magic_enum,392,closed,Bump github/codeql-action from 3.27.0 to 3.27.5 in the github-actions group,2024-12-01T06:32:44Z,2025-01-01T06:43:54Z,,dependabot[bot],
Neargye/magic_enum,391,closed,Using CMAKE_INSTALL_INCLUDEDIR for installing includes.,2024-11-21T18:19:35Z,2024-11-23T16:07:10Z,2024-11-23T16:07:10Z,Skjelsbek,
Neargye/magic_enum,390,closed,fix: update `magic_enum.hpp` reference,2024-11-20T13:13:06Z,2024-11-23T16:07:03Z,2024-11-23T16:07:03Z,emmanuel-ferdman,
